job_description,role_category
"Data Analyst — BrightSpark Analytics

We are hiring a Data Analyst to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: statistical analysis, reporting, Power Query, pivot tables, Excel, Power BI, A/B testing, KPIs.",Data Analyst
"Data Analyst — Nexalytics

We are hiring a Data Analyst to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: Power BI, reporting, ETL, KPIs, stakeholder reporting, statistical analysis, Power Query, data validation.",Data Analyst
"Data Analyst — TechNova Solutions

We are hiring a Data Analyst to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: data cleaning, data validation, DAX, ETL, Excel, KPIs, Power Query, reporting.",Data Analyst
"Data Scientist — BlueOrbit Data

We are hiring a Data Scientist to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: experimental design, scikit-learn, R, pandas, NumPy, feature engineering, regression, statistical modeling.",Data Scientist
"Data Scientist — BlueOrbit Data

We are hiring a Data Scientist to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: experimental design, Python, feature engineering, hypothesis testing, scikit-learn, statistical modeling, R, pandas.",Data Scientist
"Data Scientist — Nexalytics

We are hiring a Data Scientist to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: scikit-learn, R, statistical modeling, pandas, model evaluation, regression, SQL, feature engineering.",Data Scientist
"Machine Learning Engineer — BlueOrbit Data

We are hiring a Machine Learning Engineer to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: A/B testing of models, feature stores, REST APIs, CI/CD, model deployment, Python, Kubernetes, MLflow.",Machine Learning Engineer
"Machine Learning Engineer — Nexalytics

We are hiring a Machine Learning Engineer to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: Docker, A/B testing of models, REST APIs, feature stores, CI/CD, model deployment, MLflow, Python.",Machine Learning Engineer
"Machine Learning Engineer — InsightWorks

We are hiring a Machine Learning Engineer to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: Python, A/B testing of models, feature stores, PyTorch, Kubernetes, XGBoost, REST APIs, deep learning.",Machine Learning Engineer
"Business Intelligence Analyst — Nexalytics

We are hiring a Business Intelligence Analyst to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: ETL, dimensional modeling, DAX, dashboard design, business requirements, data governance, SQL, data warehousing.",Business Intelligence Analyst
"Business Intelligence Analyst — BlueOrbit Data

We are hiring a Business Intelligence Analyst to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: Power BI, ETL, dimensional modeling, Looker, data governance, business requirements, DAX, SSRS.",Business Intelligence Analyst
"Business Intelligence Analyst — Nexalytics

We are hiring a Business Intelligence Analyst to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: Looker, dimensional modeling, DAX, Tableau, stakeholder management, ETL, data warehousing, SQL.",Business Intelligence Analyst
"Data Engineer — DataBridge Labs

We are hiring a Data Engineer to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: schema design, Databricks, Snowflake, dbt, GCP, Spark, Kafka, Airflow.",Data Engineer
"Data Engineer — ApexInsight

We are hiring a Data Engineer to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: SQL, Python, data pipelines, schema design, Snowflake, data warehousing, Spark, ETL.",Data Engineer
"Data Engineer — BrightSpark Analytics

We are hiring a Data Engineer to join our growing analytics team.

Responsibilities:
- Design, build, and maintain scalable analytics solutions.
- Partner with business stakeholders to define KPIs and success metrics.
- Ensure data quality, documentation, and reproducibility of analyses.

Required skills: ETL, GCP, SQL, data warehousing, data pipelines, Python, Spark, AWS.",Data Engineer
